Initiative,Initiative Owner,Initiative Status,SF Parent Name,SF Parent ID,SF Parent Code,SF Email Name,SF Email ID,SF Email Code,SF Landing Name,SF Landing ID,SF Landing Code,SF Social Name,SF Social ID,SF Social Code,Campaign SF Code,Campaign Name,Deliverable Kind,Deliverable Name,utm_content,Deliverable SF Code,Deliverable SF ID,Deliverable SF Name,Email Subject,Segment,Landing Page,Send Time,Status,Deliver At,Comp Due,Comp Owner,Code Due,Code Owner,Send Due,Send Owner,Audience Lists
Conv THSCA 2026 - Athletic Show,Mark Mireles,In flight,,,,THSCA Email,701Pr00000nXb9UIAS,THSCA-EML,THSCA Web,701Pr00000oL3qvIAC,THSCA-WEB,,,,THSCA-EML,THSCA 2026 — Email,email,E3 — Plan visit + booth reveal,e3-plan-visit,,,,Your THSCA game plan — find us at Booth #362,Pre-show — full TX list,,a.m.,,,2026-07-02,Chris Klett,2026-07-03,Tami Roberts,2026-07-07,Tami Roberts,THSCA — Full Texas list
Conv THSCA 2026 - Athletic Show,Mark Mireles,In flight,,,,THSCA Email,701Pr00000nXb9UIAS,THSCA-EML,THSCA Web,701Pr00000oL3qvIAC,THSCA-WEB,,,,THSCA-WEB,THSCA 2026 — Landing,landing,Booth booking landing page,thsca-web-booth,,,,,,,,,,,,,,,,
