id,campaign_id,type,date,label
eb6e19b3-e4d0-464a-9325-66b4e0487795,71bf37b2-1930-44b3-9055-3661d6d1df5c,comp,2026-06-13T05:00:00.000Z,Comp/proof due
54c24ba5-a312-457b-84e5-422ba679eff7,08808d1b-75b9-469a-935e-00da8b481ee4,launch,2026-06-29T05:00:00.000Z,Value clip
b5f2efe0-23b0-4352-9a48-2ce0114d348e,08808d1b-75b9-469a-935e-00da8b481ee4,comp,2026-06-19T05:00:00.000Z,Comp/proof due
3a1a3527-8d5e-4cd6-86c6-187374f245d8,23c3c1a8-1b61-4769-8e1e-661d97d4c365,launch,2026-07-06T05:00:00.000Z,Booth reveal
9f23da40-9d7e-4795-8301-2a653727d882,23c3c1a8-1b61-4769-8e1e-661d97d4c365,comp,2026-06-26T05:00:00.000Z,Comp/proof due
7560862c-56eb-4564-9b45-a04f47e1f713,303467a5-a7a4-42d9-b7e8-b6edc4ca1ba1,launch,2026-07-07T05:00:00.000Z,Email send
e5a33ba3-c3c0-4311-986f-909cc7c5bf6a,303467a5-a7a4-42d9-b7e8-b6edc4ca1ba1,comp,2026-06-27T05:00:00.000Z,Comp/proof due
b29c25d2-abbe-4998-8065-16bb5b60ffe5,9f92b8f1-9358-4995-8704-4a78f495b8d8,launch,2026-07-13T05:00:00.000Z,Countdown
51751d36-1375-4666-afa2-12a7d7bb9fb9,9f92b8f1-9358-4995-8704-4a78f495b8d8,comp,2026-07-03T05:00:00.000Z,Comp/proof due
5311ecc7-d586-424f-a785-ce82705e1212,0e666139-5cf3-4e4a-8261-23124b8c0315,launch,2026-07-16T05:00:00.000Z,Email send
0aaa3364-53fb-43f2-9f5a-edd9d3c306a9,0e666139-5cf3-4e4a-8261-23124b8c0315,comp,2026-07-06T05:00:00.000Z,Comp/proof due
4eb59ef3-e11b-419a-a3bb-f51ff0fc1071,2c42ca46-4e52-4264-a934-adbf09c28c4a,launch,2026-07-19T05:00:00.000Z,Day 1 live
02a20667-a776-4f18-967f-24479aa89cd3,2c42ca46-4e52-4264-a934-adbf09c28c4a,comp,2026-07-09T05:00:00.000Z,Comp/proof due
f1f33501-42f6-4573-bf03-7829fdb5ed68,e2ef504b-b82c-47ad-895b-959d9a0a2e7d,launch,2026-07-20T05:00:00.000Z,Email send
36d88980-f4c5-4050-b423-d7cc795c60cb,e2ef504b-b82c-47ad-895b-959d9a0a2e7d,comp,2026-07-10T05:00:00.000Z,Comp/proof due
722323b4-e57f-4fdb-b865-3d35bff10743,a61aa7f0-3909-4323-81e1-ae1d9a8165fe,launch,2026-07-20T05:00:00.000Z,Day 2 UGC
